,ID,Income.Group
242,32804,<=50K
243,32805,<=50K
244,32806,<=50K
245,32807,<=50K
246,32808,<=50K
247,32809,<=50K
248,32810,<=50K
249,32811,>50K
250,32812,<=50K
251,32813,<=50K
252,32814,<=50K
253,32815,<=50K
254,32816,<=50K
255,32817,<=50K
256,32818,<=50K
257,32819,<=50K
258,32820,<=50K
259,32821,<=50K
260,32822,<=50K
261,32823,<=50K
262,32824,<=50K
263,32825,<=50K
264,32826,<=50K
265,32827,<=50K
266,32828,<=50K
267,32829,>50K
268,32830,<=50K
269,32831,<=50K
270,32832,<=50K
271,32833,>50K
272,32834,<=50K
273,32835,<=50K
274,32836,<=50K
275,32837,<=50K
276,32838,<=50K
277,32839,<=50K
278,32840,>50K
279,32841,<=50K
280,32842,<=50K
281,32843,<=50K
282,32844,<=50K
283,32845,<=50K
284,32846,<=50K
285,32847,<=50K
286,32848,<=50K
287,32849,<=50K
288,32850,<=50K
289,32851,<=50K
290,32852,>50K
291,32853,>50K
292,32854,<=50K
293,32855,<=50K
294,32856,<=50K
295,32857,<=50K
296,32858,<=50K
297,32859,<=50K
298,32860,<=50K
299,32861,<=50K
300,32862,<=50K
301,32863,<=50K
302,32864,<=50K
303,32865,<=50K
304,32866,<=50K
305,32867,<=50K
306,32868,<=50K
307,32869,<=50K
308,32870,>50K
309,32871,<=50K
310,32872,>50K
311,32873,<=50K
312,32874,>50K
313,32875,<=50K
314,32876,<=50K
315,32877,<=50K
316,32878,<=50K
317,32879,<=50K
318,32880,<=50K
319,32881,<=50K
320,32882,<=50K
321,32883,<=50K
322,32884,<=50K
323,32885,>50K
324,32886,<=50K
325,32887,<=50K
326,32888,<=50K
327,32889,<=50K
328,32890,>50K
329,32891,<=50K
330,32892,<=50K
331,32893,<=50K
332,32894,<=50K
333,32895,<=50K
334,32896,>50K
335,32897,<=50K
336,32898,<=50K
337,32899,>50K
338,32900,>50K
339,32901,<=50K
340,32902,<=50K
341,32903,<=50K
342,32904,<=50K
343,32905,>50K
344,32906,<=50K
345,32907,<=50K
346,32908,<=50K
347,32909,>50K
348,32910,<=50K
349,32911,<=50K
350,32912,<=50K
351,32913,<=50K
352,32914,<=50K
353,32915,<=50K
354,32916,<=50K
355,32917,<=50K
356,32918,<=50K
357,32919,<=50K
358,32920,<=50K
359,32921,<=50K
360,32922,<=50K
361,32923,<=50K
362,32924,<=50K
363,32925,<=50K
364,32926,>50K
365,32927,<=50K
366,32928,>50K
367,32929,<=50K
368,32930,<=50K
369,32931,>50K
370,32932,<=50K
371,32933,<=50K
372,32934,<=50K
373,32935,>50K
374,32936,<=50K
375,32937,<=50K
376,32938,<=50K
377,32939,<=50K
378,32940,<=50K
379,32941,<=50K
380,32942,<=50K
381,32943,<=50K
382,32944,<=50K
383,32945,<=50K
384,32946,<=50K
385,32947,<=50K
386,32948,<=50K
387,32949,<=50K
388,32950,<=50K
389,32951,>50K
390,32952,<=50K
391,32953,<=50K
392,32954,>50K
393,32955,<=50K
394,32956,<=50K
395,32957,<=50K
396,32958,>50K
397,32959,<=50K
398,32960,>50K
399,32961,<=50K
400,32962,<=50K
401,32963,<=50K
402,32964,<=50K
403,32965,<=50K
404,32966,>50K
405,32967,<=50K
406,32968,<=50K
407,32969,<=50K
408,32970,<=50K
409,32971,<=50K
410,32972,<=50K
411,32973,<=50K
412,32974,<=50K
413,32975,<=50K
414,32976,>50K
415,32977,>50K
416,32978,<=50K
417,32979,<=50K
418,32980,<=50K
419,32981,<=50K
420,32982,<=50K
421,32983,<=50K
422,32984,<=50K
423,32985,<=50K
424,32986,<=50K
425,32987,<=50K
426,32988,<=50K
427,32989,<=50K
428,32990,<=50K
429,32991,<=50K
430,32992,<=50K
431,32993,<=50K
432,32994,<=50K
433,32995,<=50K
434,32996,<=50K
435,32997,<=50K
436,32998,>50K
437,32999,<=50K
438,33000,>50K
439,33001,>50K
440,33002,<=50K
441,33003,<=50K
442,33004,<=50K
443,33005,>50K
444,33006,<=50K
445,33007,<=50K
446,33008,>50K
447,33009,<=50K
448,33010,<=50K
449,33011,<=50K
450,33012,<=50K
451,33013,>50K
452,33014,<=50K
453,33015,<=50K
454,33016,<=50K
455,33017,<=50K
456,33018,<=50K
457,33019,<=50K
458,33020,<=50K
459,33021,<=50K
460,33022,<=50K
461,33023,<=50K
462,33024,<=50K
463,33025,<=50K
464,33026,<=50K
465,33027,<=50K
466,33028,<=50K
467,33029,>50K
468,33030,<=50K
469,33031,<=50K
470,33032,<=50K
471,33033,<=50K
472,33034,<=50K
473,33035,<=50K
474,33036,<=50K
475,33037,<=50K
476,33038,<=50K
477,33039,<=50K
478,33040,<=50K
479,33041,<=50K
480,33042,<=50K
481,33043,<=50K
482,33044,<=50K
483,33045,<=50K
484,33046,<=50K
485,33047,<=50K
486,33048,<=50K
487,33049,<=50K
488,33050,<=50K
489,33051,<=50K
490,33052,<=50K
491,33053,<=50K
492,33054,<=50K
493,33055,<=50K
494,33056,<=50K
495,33057,<=50K
496,33058,<=50K
497,33059,<=50K
498,33060,<=50K
499,33061,<=50K
500,33062,<=50K
501,33063,>50K
502,33064,<=50K
503,33065,<=50K
504,33066,>50K
505,33067,<=50K
506,33068,<=50K
507,33069,>50K
508,33070,<=50K
509,33071,<=50K
510,33072,<=50K
511,33073,>50K
512,33074,<=50K
513,33075,<=50K
514,33076,<=50K
515,33077,<=50K
516,33078,<=50K
517,33079,<=50K
518,33080,<=50K
519,33081,>50K
520,33082,<=50K
521,33083,<=50K
522,33084,>50K
523,33085,<=50K
524,33086,>50K
525,33087,<=50K
526,33088,<=50K
527,33089,<=50K
528,33090,<=50K
529,33091,<=50K
530,33092,<=50K
531,33093,<=50K
532,33094,<=50K
533,33095,>50K
534,33096,<=50K
535,33097,<=50K
536,33098,<=50K
537,33099,<=50K
538,33100,<=50K
539,33101,<=50K
540,33102,<=50K
541,33103,<=50K
542,33104,<=50K
543,33105,<=50K
544,33106,>50K
545,33107,>50K
546,33108,<=50K
547,33109,<=50K
548,33110,<=50K
549,33111,>50K
550,33112,<=50K
551,33113,<=50K
552,33114,>50K
553,33115,<=50K
554,33116,<=50K
555,33117,<=50K
556,33118,<=50K
557,33119,<=50K
558,33120,<=50K
559,33121,<=50K
560,33122,<=50K
561,33123,<=50K
562,33124,<=50K
563,33125,<=50K
564,33126,<=50K
565,33127,<=50K
566,33128,>50K
567,33129,<=50K
568,33130,>50K
569,33131,<=50K
570,33132,<=50K
571,33133,<=50K
572,33134,>50K
573,33135,<=50K
574,33136,<=50K
575,33137,<=50K
576,33138,<=50K
577,33139,>50K
578,33140,>50K
579,33141,<=50K
580,33142,<=50K
581,33143,<=50K
582,33144,<=50K
583,33145,<=50K
584,33146,<=50K
585,33147,<=50K
586,33148,<=50K
587,33149,<=50K
588,33150,<=50K
589,33151,<=50K
590,33152,<=50K
591,33153,<=50K
592,33154,<=50K
593,33155,<=50K
594,33156,>50K
595,33157,<=50K
596,33158,<=50K
597,33159,<=50K
598,33160,>50K
599,33161,<=50K
600,33162,<=50K
601,33163,<=50K
602,33164,<=50K
603,33165,<=50K
604,33166,<=50K
605,33167,<=50K
606,33168,<=50K
607,33169,<=50K
608,33170,<=50K
609,33171,<=50K
610,33172,>50K
611,33173,<=50K
612,33174,<=50K
613,33175,<=50K
614,33176,<=50K
615,33177,<=50K
616,33178,<=50K
617,33179,>50K
618,33180,<=50K
619,33181,>50K
620,33182,<=50K
621,33183,<=50K
622,33184,<=50K
623,33185,<=50K
624,33186,<=50K
625,33187,>50K
626,33188,<=50K
627,33189,>50K
628,33190,>50K
629,33191,>50K
630,33192,<=50K
631,33193,<=50K
632,33194,<=50K
633,33195,<=50K
634,33196,<=50K
635,33197,<=50K
636,33198,<=50K
637,33199,<=50K
638,33200,<=50K
639,33201,<=50K
640,33202,<=50K
641,33203,<=50K
642,33204,<=50K
643,33205,<=50K
644,33206,<=50K
645,33207,<=50K
646,33208,<=50K
647,33209,<=50K
648,33210,<=50K
649,33211,<=50K
650,33212,<=50K
651,33213,>50K
652,33214,<=50K
653,33215,<=50K
654,33216,<=50K
655,33217,<=50K
656,33218,>50K
657,33219,<=50K
658,33220,<=50K
659,33221,<=50K
660,33222,<=50K
661,33223,<=50K
662,33224,<=50K
663,33225,<=50K
664,33226,<=50K
665,33227,<=50K
666,33228,>50K
667,33229,<=50K
668,33230,<=50K
669,33231,>50K
670,33232,<=50K
671,33233,<=50K
672,33234,<=50K
673,33235,<=50K
674,33236,>50K
675,33237,<=50K
676,33238,<=50K
677,33239,<=50K
678,33240,<=50K
679,33241,<=50K
680,33242,<=50K
681,33243,<=50K
682,33244,<=50K
683,33245,>50K
684,33246,<=50K
685,33247,<=50K
686,33248,<=50K
687,33249,<=50K
688,33250,<=50K
689,33251,<=50K
690,33252,<=50K
691,33253,<=50K
692,33254,>50K
693,33255,<=50K
694,33256,<=50K
695,33257,<=50K
696,33258,<=50K
697,33259,<=50K
698,33260,<=50K
699,33261,>50K
700,33262,<=50K
701,33263,>50K
702,33264,<=50K
703,33265,<=50K
704,33266,<=50K
705,33267,<=50K
706,33268,<=50K
707,33269,<=50K
708,33270,<=50K
709,33271,<=50K
710,33272,<=50K
711,33273,<=50K
712,33274,<=50K
713,33275,<=50K
714,33276,<=50K
715,33277,<=50K
716,33278,<=50K
717,33279,<=50K
718,33280,<=50K
719,33281,>50K
720,33282,<=50K
721,33283,<=50K
722,33284,<=50K
723,33285,>50K
724,33286,<=50K
725,33287,<=50K
726,33288,<=50K
727,33289,<=50K
728,33290,<=50K
729,33291,<=50K
730,33292,<=50K
731,33293,>50K
732,33294,<=50K
733,33295,<=50K
734,33296,<=50K
735,33297,>50K
736,33298,<=50K
737,33299,>50K
738,33300,<=50K
739,33301,<=50K
740,33302,<=50K
741,33303,<=50K
742,33304,>50K
743,33305,>50K
744,33306,<=50K
745,33307,<=50K
746,33308,<=50K
747,33309,<=50K
748,33310,<=50K
749,33311,<=50K
750,33312,<=50K
751,33313,<=50K
752,33314,<=50K
753,33315,<=50K
754,33316,<=50K
755,33317,>50K
756,33318,<=50K
757,33319,<=50K
758,33320,>50K
759,33321,<=50K
760,33322,<=50K
761,33323,<=50K
762,33324,<=50K
763,33325,<=50K
764,33326,<=50K
765,33327,<=50K
766,33328,<=50K
767,33329,<=50K
768,33330,<=50K
769,33331,<=50K
770,33332,<=50K
771,33333,<=50K
772,33334,<=50K
773,33335,<=50K
774,33336,>50K
775,33337,<=50K
776,33338,>50K
777,33339,<=50K
778,33340,<=50K
779,33341,<=50K
780,33342,<=50K
781,33343,<=50K
782,33344,<=50K
783,33345,<=50K
784,33346,<=50K
785,33347,<=50K
786,33348,<=50K
787,33349,>50K
788,33350,<=50K
789,33351,<=50K
790,33352,<=50K
791,33353,<=50K
792,33354,<=50K
793,33355,<=50K
794,33356,<=50K
795,33357,<=50K
796,33358,<=50K
797,33359,>50K
798,33360,<=50K
799,33361,>50K
800,33362,<=50K
801,33363,<=50K
802,33364,<=50K
803,33365,<=50K
804,33366,<=50K
805,33367,<=50K
806,33368,<=50K
807,33369,<=50K
808,33370,<=50K
809,33371,<=50K
810,33372,<=50K
811,33373,<=50K
812,33374,<=50K
813,33375,<=50K
814,33376,<=50K
815,33377,<=50K
816,33378,<=50K
817,33379,<=50K
818,33380,<=50K
819,33381,<=50K
820,33382,<=50K
821,33383,<=50K
822,33384,<=50K
823,33385,<=50K
824,33386,<=50K
825,33387,<=50K
826,33388,<=50K
827,33389,<=50K
828,33390,<=50K
829,33391,>50K
830,33392,<=50K
831,33393,<=50K
832,33394,<=50K
833,33395,<=50K
834,33396,>50K
835,33397,<=50K
836,33398,<=50K
837,33399,<=50K
838,33400,<=50K
839,33401,<=50K
840,33402,<=50K
841,33403,<=50K
842,33404,<=50K
843,33405,<=50K
844,33406,<=50K
845,33407,<=50K
846,33408,<=50K
847,33409,<=50K
848,33410,<=50K
849,33411,<=50K
850,33412,<=50K
851,33413,<=50K
852,33414,<=50K
853,33415,>50K
854,33416,<=50K
855,33417,<=50K
856,33418,<=50K
857,33419,<=50K
858,33420,<=50K
859,33421,<=50K
860,33422,<=50K
861,33423,>50K
862,33424,<=50K
863,33425,<=50K
864,33426,<=50K
865,33427,<=50K
866,33428,<=50K
867,33429,>50K
868,33430,<=50K
869,33431,<=50K
870,33432,<=50K
871,33433,<=50K
872,33434,>50K
873,33435,>50K
874,33436,<=50K
875,33437,<=50K
876,33438,<=50K
877,33439,<=50K
878,33440,<=50K
879,33441,<=50K
880,33442,<=50K
881,33443,<=50K
882,33444,<=50K
883,33445,<=50K
884,33446,<=50K
885,33447,<=50K
886,33448,<=50K
887,33449,<=50K
888,33450,<=50K
889,33451,>50K
890,33452,>50K
891,33453,<=50K
892,33454,<=50K
893,33455,<=50K
894,33456,<=50K
895,33457,<=50K
896,33458,<=50K
897,33459,>50K
898,33460,<=50K
899,33461,<=50K
900,33462,>50K
901,33463,>50K
902,33464,<=50K
903,33465,<=50K
904,33466,<=50K
905,33467,<=50K
906,33468,>50K
907,33469,<=50K
908,33470,<=50K
909,33471,<=50K
910,33472,<=50K
911,33473,<=50K
912,33474,>50K
913,33475,<=50K
914,33476,<=50K
915,33477,<=50K
916,33478,<=50K
917,33479,>50K
918,33480,<=50K
919,33481,<=50K
920,33482,<=50K
921,33483,<=50K
922,33484,<=50K
923,33485,<=50K
924,33486,<=50K
925,33487,<=50K
926,33488,<=50K
927,33489,<=50K
928,33490,>50K
929,33491,<=50K
930,33492,<=50K
931,33493,<=50K
932,33494,<=50K
933,33495,<=50K
934,33496,>50K
935,33497,<=50K
936,33498,<=50K
937,33499,>50K
938,33500,<=50K
939,33501,<=50K
940,33502,<=50K
941,33503,<=50K
942,33504,<=50K
943,33505,<=50K
944,33506,<=50K
945,33507,<=50K
946,33508,<=50K
947,33509,<=50K
948,33510,<=50K
949,33511,<=50K
950,33512,<=50K
951,33513,<=50K
952,33514,<=50K
953,33515,<=50K
954,33516,<=50K
955,33517,<=50K
956,33518,<=50K
957,33519,<=50K
958,33520,<=50K
959,33521,<=50K
960,33522,<=50K
961,33523,<=50K
962,33524,>50K
963,33525,<=50K
964,33526,<=50K
965,33527,<=50K
966,33528,<=50K
967,33529,>50K
968,33530,<=50K
969,33531,<=50K
970,33532,<=50K
971,33533,<=50K
972,33534,>50K
973,33535,>50K
974,33536,<=50K
975,33537,<=50K
976,33538,<=50K
977,33539,<=50K
978,33540,<=50K
979,33541,<=50K
980,33542,<=50K
981,33543,<=50K
982,33544,<=50K
983,33545,<=50K
984,33546,<=50K
985,33547,<=50K
986,33548,<=50K
987,33549,<=50K
988,33550,<=50K
989,33551,<=50K
990,33552,<=50K
991,33553,<=50K
992,33554,<=50K
993,33555,<=50K
994,33556,<=50K
995,33557,<=50K
996,33558,>50K
997,33559,<=50K
998,33560,>50K
999,33561,<=50K
1000,33562,<=50K
1001,33563,<=50K
1002,33564,<=50K
1003,33565,<=50K
1004,33566,<=50K
1005,33567,<=50K
1006,33568,<=50K
1007,33569,<=50K
1008,33570,<=50K
1009,33571,<=50K
1010,33572,<=50K
1011,33573,<=50K
1012,33574,>50K
1013,33575,<=50K
1014,33576,>50K
1015,33577,<=50K
1016,33578,<=50K
1017,33579,<=50K
1018,33580,<=50K
1019,33581,>50K
1020,33582,<=50K
1021,33583,<=50K
1022,33584,>50K
1023,33585,<=50K
1024,33586,<=50K
1025,33587,<=50K
1026,33588,<=50K
1027,33589,<=50K
1028,33590,<=50K
1029,33591,<=50K
1030,33592,<=50K
1031,33593,<=50K
1032,33594,<=50K
1033,33595,<=50K
1034,33596,<=50K
1035,33597,<=50K
1036,33598,<=50K
1037,33599,<=50K
1038,33600,<=50K
1039,33601,<=50K
1040,33602,<=50K
1041,33603,<=50K
1042,33604,<=50K
1043,33605,<=50K
1044,33606,<=50K
1045,33607,>50K
1046,33608,>50K
1047,33609,<=50K
1048,33610,<=50K
1049,33611,<=50K
1050,33612,<=50K
1051,33613,>50K
1052,33614,>50K
1053,33615,<=50K
1054,33616,<=50K
1055,33617,<=50K
1056,33618,<=50K
1057,33619,<=50K
1058,33620,<=50K
1059,33621,<=50K
1060,33622,<=50K
1061,33623,<=50K
1062,33624,<=50K
1063,33625,<=50K
1064,33626,<=50K
1065,33627,<=50K
1066,33628,<=50K
1067,33629,<=50K
1068,33630,<=50K
1069,33631,<=50K
1070,33632,<=50K
1071,33633,<=50K
1072,33634,<=50K
1073,33635,<=50K
1074,33636,>50K
1075,33637,<=50K
1076,33638,>50K
1077,33639,>50K
1078,33640,>50K
1079,33641,<=50K
1080,33642,<=50K
1081,33643,<=50K
1082,33644,>50K
1083,33645,<=50K
1084,33646,<=50K
1085,33647,<=50K
1086,33648,>50K
1087,33649,>50K
1088,33650,<=50K
1089,33651,<=50K
1090,33652,<=50K
1091,33653,<=50K
1092,33654,<=50K
1093,33655,<=50K
1094,33656,<=50K
1095,33657,<=50K
1096,33658,<=50K
1097,33659,<=50K
1098,33660,<=50K
1099,33661,<=50K
1100,33662,<=50K
1101,33663,>50K
1102,33664,>50K
1103,33665,<=50K
1104,33666,<=50K
1105,33667,>50K
1106,33668,<=50K
1107,33669,<=50K
1108,33670,<=50K
1109,33671,<=50K
1110,33672,<=50K
1111,33673,<=50K
1112,33674,<=50K
1113,33675,<=50K
1114,33676,<=50K
1115,33677,>50K
1116,33678,<=50K
1117,33679,<=50K
1118,33680,<=50K
1119,33681,<=50K
1120,33682,<=50K
1121,33683,<=50K
1122,33684,>50K
1123,33685,<=50K
1124,33686,<=50K
1125,33687,>50K
1126,33688,<=50K
1127,33689,<=50K
1128,33690,<=50K
1129,33691,<=50K
1130,33692,<=50K
1131,33693,<=50K
1132,33694,<=50K
1133,33695,<=50K
1134,33696,<=50K
1135,33697,<=50K
1136,33698,<=50K
1137,33699,<=50K
1138,33700,<=50K
1139,33701,<=50K
1140,33702,<=50K
1141,33703,>50K
1142,33704,<=50K
1143,33705,<=50K
1144,33706,<=50K
1145,33707,<=50K
1146,33708,<=50K
1147,33709,<=50K
1148,33710,>50K
1149,33711,<=50K
1150,33712,>50K
1151,33713,<=50K
1152,33714,<=50K
1153,33715,<=50K
1154,33716,>50K
1155,33717,<=50K
1156,33718,<=50K
1157,33719,>50K
1158,33720,<=50K
1159,33721,<=50K
1160,33722,<=50K
1161,33723,>50K
1162,33724,<=50K
1163,33725,<=50K
1164,33726,<=50K
1165,33727,<=50K
1166,33728,<=50K
1167,33729,<=50K
1168,33730,>50K
1169,33731,>50K
1170,33732,<=50K
1171,33733,<=50K
1172,33734,<=50K
1173,33735,<=50K
1174,33736,<=50K
1175,33737,<=50K
1176,33738,<=50K
1177,33739,>50K
1178,33740,<=50K
1179,33741,<=50K
1180,33742,<=50K
1181,33743,<=50K
1182,33744,<=50K
1183,33745,<=50K
1184,33746,<=50K
1185,33747,<=50K
1186,33748,<=50K
1187,33749,<=50K
1188,33750,<=50K
1189,33751,<=50K
1190,33752,<=50K
1191,33753,<=50K
1192,33754,<=50K
1193,33755,<=50K
1194,33756,<=50K
1195,33757,<=50K
1196,33758,<=50K
1197,33759,<=50K
1198,33760,<=50K
1199,33761,<=50K
1200,33762,<=50K
1201,33763,<=50K
1202,33764,<=50K
1203,33765,<=50K
1204,33766,>50K
1205,33767,<=50K
1206,33768,>50K
1207,33769,<=50K
1208,33770,<=50K
1209,33771,<=50K
1210,33772,<=50K
1211,33773,<=50K
1212,33774,<=50K
1213,33775,<=50K
1214,33776,>50K
1215,33777,<=50K
1216,33778,<=50K
1217,33779,<=50K
1218,33780,<=50K
1219,33781,<=50K
1220,33782,<=50K
1221,33783,<=50K
1222,33784,>50K
1223,33785,<=50K
1224,33786,<=50K
1225,33787,<=50K
1226,33788,<=50K
1227,33789,>50K
1228,33790,<=50K
1229,33791,>50K
1230,33792,<=50K
1231,33793,<=50K
1232,33794,<=50K
1233,33795,<=50K
1234,33796,<=50K
1235,33797,<=50K
1236,33798,<=50K
1237,33799,>50K
1238,33800,<=50K
1239,33801,<=50K
1240,33802,<=50K
1241,33803,<=50K
1242,33804,<=50K
1243,33805,<=50K
1244,33806,<=50K
1245,33807,<=50K
1246,33808,<=50K
1247,33809,<=50K
1248,33810,<=50K
1249,33811,<=50K
1250,33812,<=50K
1251,33813,<=50K
1252,33814,<=50K
1253,33815,<=50K
1254,33816,<=50K
1255,33817,<=50K
1256,33818,<=50K
1257,33819,<=50K
1258,33820,<=50K
1259,33821,<=50K
1260,33822,<=50K
1261,33823,<=50K
1262,33824,<=50K
1263,33825,<=50K
1264,33826,<=50K
1265,33827,<=50K
1266,33828,<=50K
1267,33829,<=50K
1268,33830,<=50K
1269,33831,<=50K
1270,33832,>50K
1271,33833,<=50K
1272,33834,<=50K
1273,33835,<=50K
1274,33836,<=50K
1275,33837,<=50K
1276,33838,>50K
1277,33839,<=50K
1278,33840,<=50K
1279,33841,<=50K
1280,33842,<=50K
1281,33843,<=50K
1282,33844,<=50K
1283,33845,<=50K
1284,33846,<=50K
1285,33847,<=50K
1286,33848,<=50K
1287,33849,<=50K
1288,33850,<=50K
1289,33851,<=50K
1290,33852,>50K
1291,33853,<=50K
1292,33854,<=50K
1293,33855,<=50K
1294,33856,<=50K
1295,33857,<=50K
1296,33858,>50K
1297,33859,<=50K
1298,33860,<=50K
1299,33861,<=50K
1300,33862,<=50K
1301,33863,<=50K
1302,33864,<=50K
1303,33865,<=50K
1304,33866,<=50K
1305,33867,<=50K
1306,33868,<=50K
1307,33869,<=50K
1308,33870,<=50K
1309,33871,<=50K
1310,33872,<=50K
1311,33873,<=50K
1312,33874,<=50K
1313,33875,<=50K
1314,33876,<=50K
1315,33877,<=50K
1316,33878,<=50K
1317,33879,<=50K
1318,33880,<=50K
1319,33881,<=50K
1320,33882,>50K
1321,33883,<=50K
1322,33884,<=50K
1323,33885,>50K
1324,33886,<=50K
1325,33887,<=50K
1326,33888,>50K
1327,33889,<=50K
1328,33890,<=50K
1329,33891,<=50K
1330,33892,<=50K
1331,33893,<=50K
1332,33894,<=50K
1333,33895,<=50K
1334,33896,<=50K
1335,33897,<=50K
1336,33898,<=50K
1337,33899,<=50K
1338,33900,<=50K
1339,33901,<=50K
1340,33902,<=50K
1341,33903,<=50K
1342,33904,<=50K
1343,33905,<=50K
1344,33906,<=50K
1345,33907,>50K
1346,33908,<=50K
1347,33909,<=50K
1348,33910,<=50K
1349,33911,<=50K
1350,33912,<=50K
1351,33913,<=50K
1352,33914,<=50K
1353,33915,<=50K
1354,33916,<=50K
1355,33917,<=50K
1356,33918,<=50K
1357,33919,<=50K
1358,33920,<=50K
1359,33921,<=50K
1360,33922,>50K
1361,33923,<=50K
1362,33924,<=50K
1363,33925,<=50K
1364,33926,<=50K
1365,33927,<=50K
1366,33928,<=50K
1367,33929,>50K
1368,33930,<=50K
1369,33931,>50K
1370,33932,<=50K
1371,33933,>50K
1372,33934,<=50K
1373,33935,<=50K
1374,33936,<=50K
1375,33937,<=50K
1376,33938,<=50K
1377,33939,<=50K
